"miasto";"ulica";"pokoi";"powierzchnia";"pietro";"cena";"cenam2";"dzielnica";"data"
"Krakow";"rusznikarska ";2;43.42;"2";380000;8752;"Krowodrza";2011-09-14
"Krakow";"filipowicza";2;53;"parter";320000;6038;"Podgorze Duchackie";2011-09-14
"Krakow";"mistrzejowice nowe";2;51.6;"1";330000;6396;"Mistrzejowice";2011-09-14
"Krakow";"wandy";2;47;"2";245000;5213;"Nowa Huta";2011-09-14
"Krakow";"kobierzynska";3;63;"4";340000;5397;"Podgorze";2011-09-14
"Krakow";"teligi";2;45;"2";240000;5334;"Biezanow-Prokocim";2011-09-14
"Krakow";"myczkowskiego";2;54;"3";330000;6112;"Bronowice";2011-09-14
"Krakow";"kazimierzowskie";2;43.5;"4";220000;5058;"Bienczyce";2011-09-14
"Krakow";"litewska";2;46.81;"4";330000;7050;"Krowodrza";2011-09-14
"Krakow";"wielkotyrnowska ";2;36;"3";245000;6806;"Pradnik Bialy";2011-09-14
"Krakow";"kurczaba";2;47.9;"2";254000;5303;"Biezanow-Prokocim";2011-09-14
"Krakow";"strusia";3;47;"3";239000;5086;"Nowa Huta";2011-09-14
"Krakow";"podlesie";2;52;"3";320000;6154;"Podgorze";2011-09-13
"Krakow";"wroclawska";3;58;"4";380000;6552;"Krowodrza";2011-09-13
"Krakow";"na kozlowce";2;37.3;"2";235000;6301;"Podgorze";2011-09-13
"Krakow";"mala gora";1;35.35;"10";190000;5375;"Biezanow-Prokocim";2011-09-13
"Krakow";"ks";2;37.3;"2";255000;6837;"Krowodrza";2011-09-13
"Krakow";"cieszynska";1;40.75;"1";360000;8835;"Stare Miasto";2011-09-13
"Krakow";"biezanowska";3;46.9;"9";275000;5864;"Biezanow-Prokocim";2011-09-13
"Krakow";"kalinowe";1;24;"6";150000;6250;"Mistrzejowice";2011-09-13
"Krakow";"lea";3;82;"3";580000;7074;"Krowodrza";2011-09-13
"Krakow";"galla";2;42.5;"3";330000;7765;"Nowa Huta";2011-09-13
"Krakow";"obozowa";1;37;"1";229000;6190;"Podgorze";2011-09-13
"Krakow";"mackiewicza";3;59.2;"parter";380000;6419;"Pradnik Bialy";2011-09-13
"Krakow";"europejskie";2;47;"7";340000;7235;"Debniki";2011-09-13
"Krakow";"emaus";1;30;"3";270000;9000;"Zwierzyniec";2011-09-13
"Krakow";"podlesie";3;62;"3";349000;5630;"Podgorze";2011-09-13
"Krakow";"ks";1;38;"1";218000;5737;"Pradnik Czerwony";2011-09-13
"Krakow";"";1;27;"6";210000;7778;"Krowodrza";2011-09-13
"Krakow";"na szaniec";4;64;"parter";370000;5782;"Grzegorzki";2011-09-13
"Krakow";"seweryna";3;53;"parter";285000;5378;"Podgorze";2011-09-13
"Krakow";"dietla";1;43;"3";4e+05;9303;"Stare Miasto";2011-09-13
"Krakow";"gnieznienska";2;37;"6";259000;7000;"Pradnik Bialy";2011-09-12
"Krakow";"nadbrzezna";2;33.5;"parter";186000;5553;"Grzegorzki";2011-09-12
"Krakow";"lokietka";2;41;"1";275000;6708;"Pradnik Bialy";2011-09-12
"Krakow";"raciborska";2;50.79;"parter";361000;7108;"Podgorze";2011-09-12
"Krakow";"miechowity";2;43.9;"3";285000;6493;"Pradnik Czerwony";2011-09-12
"Krakow";"stachiewicza";1;20;"3";166000;8300;"Pradnik Bialy";2011-09-12
"Krakow";"centrum b";2;45.5;"5";259000;5693;"Nowa Huta";2011-09-12
"Krakow";"ugorek";2;36.8;"5";237000;6441;"Pradnik Czerwony";2011-09-12
"Krakow";"rozyckiego";1;20;"3";156000;7800;"Pradnik Bialy";2011-09-12
"Krakow";"kalwaryjska";2;25;"parter";173000;6920;"Podgorze";2011-09-12
"Krakow";"wysokie";2;44.5;"2";240000;5394;"Bienczyce";2011-09-12
"Krakow";"kluzeka";3;45;"8";321000;7134;"Pradnik Bialy";2011-09-12
"Krakow";"wyslouchow";1;27.35;"4";175000;6399;"Podgorze Duchackie";2011-09-12
"Krakow";"krzemieniecka";3;120;"1";249000;2075;"Swoszowice";2011-09-12
"Krakow";"myslenicka";1;38;"1";238000;6264;"Swoszowice";2011-09-12
"Krakow";"emili plater";1;24;"2";220000;9167;"Krowodrza";2011-09-12
"Krakow";"aleksandry";3;62;"2";295000;4759;"Biezanow-Prokocim";2011-09-12
"Krakow";"kijowska nowe";1;28;"1";259000;9250;"Krowodrza";2011-09-12
"Krakow";"wyslouchow";3;62.6;"1";360000;5751;"Podgorze Duchackie";2011-09-11
"Krakow";"blich";2;39.4;"4";334000;8478;"Grzegorzki";2011-09-10
"Krakow";"blich";3;80.7;"4";629000;7795;"Grzegorzki";2011-09-10
"Krakow";"blich";3;57.1;"4";459000;8039;"Grzegorzki";2011-09-10
"Krakow";"blich";4;95.3;"4";719000;7545;"Grzegorzki";2011-09-10
"Krakow";"blich";3;64.2;"4";449000;6994;"Grzegorzki";2011-09-10
"Krakow";"blich";4;84.8;"4";636000;7500;"Grzegorzki";2011-09-10
"Krakow";"pradzynskiego";2;53;"5";330000;6227;"Grzegorzki";2011-09-10
"Krakow";"slomiana";3;48;"2";380000;7917;"Podgorze";2011-09-10
"Krakow";"";2;54;"7";415000;7686;"Krowodrza";2011-09-10
"Krakow";"";2;49.2;"1";370000;7521;"Krowodrza";2011-09-10
"Krakow";"";3;49;"9";360000;7347;"Podgorze";2011-09-10
"Krakow";"borkowska";1;32.5;"parter";208000;6400;"Swoszowice";2011-09-10
"Krakow";"";2;56;"1";335000;5983;"Stare Miasto";2011-09-10
"Krakow";"wielicka";1;37.5;"3";269000;7174;"Podgorze";2011-09-10
"Krakow";"";3;51;"7";410000;8040;"Krowodrza";2011-09-10
"Krakow";"witosa";2;48;"6";240000;5000;"Podgorze Duchackie";2011-09-10
"Krakow";"blich";2;43;"4";349000;8117;"Grzegorzki";2011-09-09
"Krakow";"blich";3;55.4;"4";449000;8105;"Grzegorzki";2011-09-09
"Krakow";"osiedle kalinowe";1;24;"6";153000;6375;"Nowa Huta";2011-09-09
"Krakow";"borkowska";3;64.97;"2";420000;6465;"Debniki";2011-09-09
"Krakow";"okulickiego z garazem i piwnica";2;51.1;"5";357000;6987;"Bienczyce";2011-09-09
"Krakow";"kalinowe";1;23.6;"6";153000;6484;"Bienczyce";2011-09-09
"Krakow";"bialoruska";2;45.5;"3";270000;5935;"Podgorze Duchackie";2011-09-09
"Krakow";"borsucza";3;61;"6";329000;5394;"Lagiewniki";2011-09-09
"Krakow";"";3;66.75;"1";531000;7956;"Krowodrza";2011-09-09
"Krakow";"";3;64;"3";395000;6172;"Podgorze";2011-09-09
"Krakow";"";3;65;"";399000;6139;"Podgorze";2011-09-09
"Krakow";"";3;82;"";510000;6220;"Grzegorzki";2011-09-09
"Krakow";"";3;55;"5";439000;7982;"Podgorze";2011-09-09
"Krakow";"";2;52;"3";346000;6654;"Grzegorzki";2011-09-09
"Krakow";"fatimska";2;50.46;"parter";269000;5331;"Bienczyce";2011-09-09
"Krakow";"kazimierza wielkiego";2;40;"parter";325000;8125;"Krowodrza";2011-09-09
"Krakow";"wysokie";3;56;"3";310000;5536;"Nowa Huta";2011-09-09
"Krakow";"strusia";2;46;"8";270000;5870;"Nowa Huta";2011-09-09
"Krakow";"baluckiego";2;38;"3";280000;7369;"Debniki";2011-09-08
"Krakow";"heleny";2;50;"3";245000;4900;"Biezanow-Prokocim";2011-09-08
"Krakow";"piastow";2;42;"9";258000;6143;"Mistrzejowice";2011-09-08
"Krakow";"na kozlowce";1;24.5;"4";168000;6858;"Podgorze";2011-09-08
"Krakow";"wilenska";1;20;"3";170000;8500;"Grzegorzki";2011-09-08
"Krakow";"";1;34;"parter";214000;6295;"inne";2011-09-08
"Krakow";"kapelanka";3;60;"";328900;5482;"Debniki";2011-09-08
"Krakow";"albertynskie";2;38;"6";229000;6027;"Bienczyce";2011-09-08
"Krakow";"oswiecenia";2;51.23;"2";335000;6540;"Mistrzejowice";2011-09-08
"Krakow";"sodowa";2;31.5;"1";260000;8254;"Debniki";2011-09-08
"Krakow";"piastow";3;47;"1";285000;6064;"Mistrzejowice";2011-09-08
"Krakow";"wilenska";3;55.5;"2";340000;6127;"Pradnik Czerwony";2011-09-08
"Krakow";"pszona";2;68.1;"3";360000;5287;"Pradnik Czerwony";2011-09-08
"Krakow";"sliczna";1;28;"10";190000;6786;"Pradnik Czerwony";2011-09-08
"Krakow";"wlodkowica";2;51;"4";310000;6079;"Pradnik Czerwony";2011-09-08
"Krakow";"strzelcow";3;52;"parter";320000;6154;"Pradnik Czerwony";2011-09-08
"Krakow";"sadzawki";2;37;"parter";225000;6082;"Pradnik Czerwony";2011-09-08
"Krakow";"okulickiego";2;50.6;"1";335000;6621;"Mistrzejowice";2011-09-08
"Krakow";"miechowity";1;33.6;"2";210000;6250;"Pradnik Czerwony";2011-09-08
"Krakow";"ugorek";1;35;"2";249000;7115;"Pradnik Czerwony";2011-09-08
"Krakow";"celarowska";2;38;"2";255000;6711;"Pradnik Czerwony";2011-09-08
"Krakow";"kopalina ";3;189.92;"1";2006446;10565;"Zwierzyniec";2011-09-08
"Krakow";"szczerbinskiego ";2;55.25;"parter";414375;7500;"Lagiewniki";2011-09-08
"Krakow";"montwilla";3;53.76;"3";350000;6511;"Podgorze";2011-09-07
"Krakow";"daliowa";1;34;"parter";237000;6971;"Podgorze Duchackie";2011-09-07
"Krakow";"";3;70.4;"parter";185000;2628;"Podgorze";2011-09-07
"Krakow";"";4;238;"16";2450000;10295;"inne";2011-09-07
"Krakow";"zakrzowiecka";3;78;"2";487200;6247;"Debniki";2011-09-07
"Krakow";"rozyckiego";2;35.4;"1";270000;7628;"Pradnik Bialy";2011-09-07
"Krakow";"krowoderskich zuchow";3;45;"10";277000;6156;"Krowodrza";2011-09-07
"Krakow";"nefrytowa";1;22;"1";145000;6591;"Biezanow-Prokocim";2011-09-07
"Krakow";"krowoderskich zuchow";3;46;"10";277000;6022;"Krowodrza";2011-09-07
"Krakow";"";2;54;"2";258000;4778;"Nowa Huta";2011-09-07
"Krakow";"zawodzie";2;62;"2";360000;5807;"Pradnik Czerwony";2011-09-07
"Krakow";"pedzichow";1;29.8;"parter";260000;8725;"inne";2011-09-07
"Krakow";"jana pawla ii";3;55;"9";345000;6273;"Nowa Huta";2011-09-07
"Krakow";"krolewska";1;28;"5";230000;8215;"Krowodrza";2011-09-07
"Krakow";"strusia";2;38;"9";214000;5632;"Bienczyce";2011-09-07
"Krakow";"chmieleniec";2;49.77;"parter";375000;7535;"Debniki";2011-09-07
"Krakow";"lepkowskiego";1;51.85;"1";316285;6100;"Pradnik Czerwony";2011-09-07
"Krakow";"osiedle oswiecenia";2;54.04;"2";330000;6107;"Mistrzejowice";2011-09-07
"Krakow";"na szaniec";3;61.58;"parter";370000;6009;"Grzegorzki";2011-09-07
"Krakow";"krolowej jadwigi";1;50;"1";415000;8300;"Krowodrza";2011-09-07
"Krakow";"centrum e";4;84.8;"6";479000;5649;"Nowa Huta";2011-09-07
"Krakow";"komuny paryskiej";2;55;"parter";390000;7091;"Swoszowice";2011-09-07
"Krakow";"osiedle sloneczne";1;22;"3";170000;7728;"Nowa Huta";2011-09-07
"Krakow";"wielicka";3;65;"2";415000;6385;"Biezanow-Prokocim";2011-09-06
"Krakow";"";2;49;"";340000;6939;"Pradnik Bialy";2011-09-06
"Krakow";"siewna ";2;56.9;"2";360000;6327;"Pradnik Bialy";2011-09-06
"Krakow";"cesarza";2;37.8;"1";299000;7911;"Lagiewniki";2011-09-06
"Krakow";"osiedle tysiaclecia";1;22;"parter";172000;7819;"Nowa Huta";2011-09-06
"Krakow";"";3;52.55;"parter";267952;5099;"Podgorze Duchackie";2011-09-06
"Krakow";"na lotnisku";2;44;"6";215000;4887;"Bienczyce";2011-09-06
"Krakow";"soltyka";5;260;"";8e+05;3077;"Grzegorzki";2011-09-06
"Krakow";"rozyckiego";2;37;"7";220000;5946;"Krowodrza";2011-09-06
"Krakow";"bajeczna";1;26;"3";215000;8270;"Grzegorzki";2011-09-06
"Krakow";"tatarska";2;60;"3";590000;9834;"Zwierzyniec";2011-09-06
"Krakow";"topazowa";1;20;"3";148000;7400;"Biezanow-Prokocim";2011-09-06
"Krakow";"zakrzowiecka";3;63.38;"1";475000;7495;"Debniki";2011-09-05
"Krakow";"dobrego pasterza";1;22.41;"11";169000;7542;"Pradnik Czerwony";2011-09-05
"Krakow";"przy arce";2;41;"9";234000;5708;"Bienczyce";2011-09-05
"Krakow";"milkowskiego";2;43;"3";310000;7210;"Podgorze";2011-09-05
"Krakow";"";4;82;"4";485000;5915;"Podgorze";2011-09-05
"Krakow";"";1;24;"";220000;9167;"Grzegorzki";2011-09-05
"Krakow";"nuszkiewicza";2;49.61;"1";360000;7257;"Pradnik Czerwony";2011-09-05
"Krakow";"kazimierza wielkiego";2;34.2;"parter";291000;8509;"Krowodrza";2011-09-05
"Krakow";"rozyckiego";2;38;"7";220000;5790;"Pradnik Bialy";2011-09-05
"Krakow";"bociana ";2;49.36;"parter";340000;6889;"Pradnik Bialy";2011-09-05
"Krakow";"sciegiennego";2;45;"6";295000;6556;"Biezanow-Prokocim";2011-09-05
"Krakow";"";4;85;"1";390000;4589;"inne";2011-09-04
"Krakow";"plaszowska";2;49.27;"parter";390000;7916;"Podgorze";2011-09-04
"Krakow";"";3;65;"2";405000;6231;"Podgorze";2011-09-03
"Krakow";"";2;44.6;"1";356000;7983;"Krowodrza";2011-09-03
"Krakow";"";2;80.03;"2";466000;5823;"Stare Miasto";2011-09-03
"Krakow";"koszykarska";4;78;"3";465000;5962;"Podgorze";2011-09-03
"Krakow";"tysiaclecia";3;50;"parter";295000;5900;"Mistrzejowice";2011-09-03
"Krakow";"dworcowa";3;54;"parter";290000;5371;"Podgorze";2011-09-03
"Krakow";"okolna";3;47.2;"2";270000;5721;"Podgorze Duchackie";2011-09-03
"Krakow";"jadwigi z lobzowa";2;33;"parter";260000;7879;"Bronowice";2011-09-03
"Krakow";"lasowka";2;39;"2";245000;6283;"Podgorze";2011-09-03
"Krakow";"cegielniana";3;66;"5";350000;5304;"Lagiewniki";2011-09-03
"Krakow";"bobrowskiego";1;41.2;"1";275000;6675;"Grzegorzki";2011-09-03
"Krakow";"";2;45.5;"3";270000;5935;"Podgorze Duchackie";2011-09-03
"Krakow";"felinskiego";2;31.7;"2";250000;7887;"Pradnik Czerwony";2011-09-03
"Krakow";"siemienowicza";1;30.7;"2";220000;7167;"Podgorze";2011-09-03
"Krakow";"";2;44.4;"parter";249000;5609;"Biezanow-Prokocim";2011-09-03
"Krakow";"";2;52.32;"3";385000;7359;"Grzegorzki";2011-09-03
"Krakow";"filipowicza";2;53.19;"parter";340000;6393;"Podgorze Duchackie";2011-09-03
"Krakow";"strzelcow";3;59.5;"parter";330000;5547;"Pradnik Czerwony";2011-09-03
"Krakow";"podleska";2;52;"2";364000;7000;"Biezanow-Prokocim";2011-09-03
"Krakow";"komuny paryskiej";2;60;"parter";385000;6417;"Lagiewniki";2011-09-03
"Krakow";"krzywda";1;32.5;"parter";235000;7231;"Podgorze";2011-09-03
"Krakow";"strusia";2;38;"9";220000;5790;"Nowa Huta";2011-09-03
"Krakow";"aleksandry";3;62;"parter";299000;4823;"Biezanow-Prokocim";2011-09-03
"Krakow";"wolnosci";2;48;"1";309000;6438;"Podgorze Duchackie";2011-09-03
"Krakow";"kaczorowka";2;53;"2";357000;6736;"Pradnik Bialy";2011-09-03
"Krakow";"luzycka";1;37.9;"parter";245000;6465;"Podgorze Duchackie";2011-09-03
"Krakow";"urzednicza";1;31;"1";290000;9355;"Krowodrza";2011-09-03
"Krakow";"";2;47.3;"1";399500;8447;"Stare Miasto";2011-09-03
"Krakow";"duza gora";3;58;"1";420000;7242;"Biezanow-Prokocim";2011-09-03
"Krakow";"";4;75;"parter";390000;5200;"Nowa Huta";2011-09-03
"Krakow";"praska";2;49.97;"parter";315000;6304;"Debniki";2011-09-03
"Krakow";"centrum e";3;61.15;"5";380000;6215;"Nowa Huta";2011-09-03
"Krakow";"wilenska";1;25;"4";186000;7440;"Pradnik Czerwony";2011-09-02
"Krakow";"";3;52;"2";310000;5962;"Nowa Huta";2011-09-02
"Krakow";"";3;61.2;"1";510000;8334;"Krowodrza";2011-09-02
"Krakow";"";2;53;"3";399000;7529;"Krowodrza";2011-09-02
"Krakow";"kobierzynska";2;50;"1";370000;7400;"Podgorze";2011-09-02
"Krakow";"debowa";1;24;"parter";190000;7917;"Podgorze";2011-09-02
"Krakow";"siemaszki";3;64;"2";496000;7750;"Krowodrza";2011-09-02
"Krakow";"mogilska";3;63;"1";475000;7540;"Grzegorzki";2011-09-02
"Krakow";"";2;62;"1";540000;8710;"Krowodrza";2011-09-02
"Krakow";"miechowity";2;37;"1";235000;6352;"Grzegorzki";2011-09-02
"Krakow";"przemyslowa";2;64;"2";410000;6407;"Podgorze";2011-09-02
"Krakow";"podkowinskiego";2;46;"1";345000;7500;"Krowodrza";2011-09-02
"Krakow";"pomorska";1;18.01;"parter";205000;11383;"Krowodrza";2011-09-02
"Krakow";"pedzichow";1;30;"parter";250000;8334;"Stare Miasto";2011-09-02
"Krakow";"lubostron";2;51;"3";357000;7000;"Debniki";2011-09-02
"Krakow";"kolorowe";2;36;"parter";215000;5973;"Nowa Huta";2011-09-01
"Krakow";"teligi";4;63.48;"2";319000;5026;"Biezanow-Prokocim";2011-09-01
"Krakow";"czarnowiejska";2;47;"1";320000;6809;"Nowa Huta";2011-09-01
"Krakow";"ugorek";1;25;"3";180000;7200;"Grzegorzki";2011-09-01
"Krakow";"spoldzielcow";2;37;"1";225000;6082;"Podgorze";2011-09-01
"Krakow";"turecka";1;33.36;"parter";210000;6295;"Debniki";2011-09-01
"Krakow";"wybickiego";1;32.8;"2";260000;7927;"Krowodrza";2011-09-01
"Krakow";"szaflarska";1;32;"parter";160000;5000;"Debniki";2011-09-01
"Krakow";"aleja pokoju";1;24.1;"parter";169000;7013;"Grzegorzki";2011-09-01
"Krakow";"telimeny";1;31;"5";165000;5323;"Biezanow-Prokocim";2011-09-01
"Krakow";"kurdwanow";2;50;"5";270000;5400;"Podgorze Duchackie";2011-09-01
"Krakow";"";1;34.7;"4";229000;6600;"Podgorze Duchackie";2011-09-01
"Krakow";"centralna";2;35;"2";189000;5400;"Nowa Huta";2011-09-01
"Krakow";"luzycka";4;68;"5";339000;4986;"Podgorze";2011-09-01
"Krakow";"jasinskiego";1;22;"3";159000;7228;"Podgorze";2011-09-01
"Krakow";"rzeznicza";2;42.73;"4";350000;8191;"Grzegorzki";2011-09-01
"Krakow";"";2;35.5;"4";184600;5200;"Czyzyny";2011-08-31
"Krakow";"chmieleniec";2;48;"2";380000;7917;"Debniki";2011-08-31
"Krakow";"mogilska";1;27;"5";225000;8334;"Grzegorzki";2011-08-31
"Krakow";"kalinowe";2;38;"3";229000;6027;"Bienczyce";2011-08-31
"Krakow";"na lotnisku";2;37;"4";215000;5811;"Bienczyce";2011-08-31
"Krakow";"luzycka";1;37.8;"parter";245000;6482;"Podgorze Duchackie";2011-08-31
"Krakow";"bohaterow wrzesnia";2;61;"2";420000;6886;"Mistrzejowice";2011-08-31
"Krakow";"";2;43.7;"3";253460;5800;"Pradnik Bialy";2011-08-31
"Krakow";"";2;40.94;"parter";212888;5200;"Pradnik Bialy";2011-08-31
"Krakow";"heleny";1;35;"4";193000;5515;"Biezanow-Prokocim";2011-08-31
"Krakow";"osiedle kalinowe";1;23.6;"6";155355;6583;"Bienczyce";2011-08-31
"Krakow";"kuczkowskiego";3;57.2;"3";365000;6382;"Pradnik Czerwony";2011-08-31
"Krakow";"osiedle zlotego wieku";2;39;"11";225000;5770;"Mistrzejowice";2011-08-31
"Krakow";"rozrywka";2;40.3;"4";239000;5931;"Grzegorzki";2011-08-31
"Krakow";"";2;46;"2";130000;2827;"Podgorze";2011-08-30
"Krakow";"luzycka";2;46;"9";280000;6087;"Podgorze";2011-08-30
"Krakow";"";1;20;"3";167000;8350;"Krowodrza";2011-08-30
"Krakow";"teligi";1;32.6;"2";199000;6105;"Biezanow-Prokocim";2011-08-30
"Krakow";"bulwarowa";4;73.84;"3";398736;5400;"Nowa Huta";2011-08-30
"Krakow";"bulwarowa";3;52.35;"2";306248;5851;"Nowa Huta";2011-08-30
"Krakow";"bulwarowa";2;43.24;"parter";248630;5750;"Nowa Huta";2011-08-30
"Krakow";"bulwarowa";2;54.1;"2";316485;5850;"Nowa Huta";2011-08-30
"Krakow";"bulwarowa";3;53.26;"1";311571;5850;"Nowa Huta";2011-08-30
"Krakow";"tysiaclecia";3;58;"parter";295000;5087;"Nowa Huta";2011-08-30
"Krakow";"kombatantow";1;35;"parter";179000;5115;"Nowa Huta";2011-08-30
"Krakow";"kulakowskiego";4;100;"3";449000;4490;"Lagiewniki";2011-08-30
"Krakow";"wysokie";1;24.5;"4";150000;6123;"Mistrzejowice";2011-08-30
"Krakow";"strzelcow";1;32.5;"3";210000;6462;"Pradnik Czerwony";2011-08-30
"Krakow";"wybickiego";3;55.28;"7";374000;6766;"Krowodrza";2011-08-30
"Krakow";"strusia";2;45;"10";250000;5556;"Bienczyce";2011-08-30
"Krakow";"rozyckiego";2;38;"7";220000;5790;"Pradnik Bialy";2011-08-30
"Krakow";"";3;67;"parter";435000;6493;"Podgorze Duchackie";2011-08-30
"Krakow";"zaka";2;35;"1";125000;3572;"Podgorze";2011-08-30
"Krakow";"biezanowska";1;46;"2";180000;3914;"Biezanow-Prokocim";2011-08-30
"Krakow";"tuchowska";3;69.32;"3";350000;5050;"Podgorze Duchackie";2011-08-30
"Krakow";"szlachtowskiego";1;26.28;"1";215000;8182;"Krowodrza";2011-08-30
"Krakow";"slomczynskiego";2;44.6;"parter";320000;7175;"Pradnik Bialy";2011-08-30
"Krakow";"cybulskiego";2;45.5;"4";549000;12066;"Stare Miasto";2011-08-30
"Krakow";"fatimska";2;50.28;"4";290000;5768;"Bienczyce";2011-08-30
"Krakow";"sanocka";3;62.8;"4";370000;5892;"Podgorze Duchackie";2011-08-30
"Krakow";"kuznicy kollatajowskiej";2;34.52;"8";270000;7822;"Pradnik Bialy";2011-08-30
"Krakow";"grota roweckiego";2;58;"8";345000;5949;"Debniki";2011-08-29
"Krakow";"mistrzejowice nowe";2;51.6;"1";340000;6590;"Nowa Huta";2011-08-29
"Krakow";"aleja roz";2;51;"4";299000;5863;"Nowa Huta";2011-08-29
"Krakow";"gromady grudziaz";3;59;"11";294000;4984;"Podgorze Duchackie";2011-08-29
"Krakow";"heleny";1;35;"4";190000;5429;"Biezanow-Prokocim";2011-08-29
"Krakow";"lowienicka";3;57;"parter";346000;6071;"Podgorze Duchackie";2011-08-29
"Krakow";"pomorska";4;110;"2";839000;7628;"Krowodrza";2011-08-29
"Krakow";"turka";2;51.8;"3";285000;5502;"Podgorze";2011-08-29
"Krakow";"rozrywka";2;40;"4";250000;6250;"Pradnik Czerwony";2011-08-29
"Krakow";"";3;79.3;"4";585000;7378;"Stare Miasto";2011-08-29
"Krakow";"";2;37;"1";239000;6460;"Grzegorzki";2011-08-28
"Krakow";"bajeczna";1;27;"3";190000;7038;"Grzegorzki";2011-08-27
"Krakow";"nullo";2;48.5;"2";339000;6990;"Grzegorzki";2011-08-27
"Krakow";"dietla";3;101;"2";7e+05;6931;"Stare Miasto";2011-08-27
"Krakow";"retoryka";2;55.75;"2";619000;11104;"Stare Miasto";2011-08-27
"Krakow";"jozefa";2;84.2;"2";620000;7364;"Stare Miasto";2011-08-27
"Krakow";"armii krajowej";2;35.5;"8";285000;8029;"Bronowice";2011-08-27
"Krakow";"benedykta cesarza";2;37.9;"1";299000;7890;"Lagiewniki";2011-08-27
"Krakow";"okolice lotniczej";2;33.5;"";180000;5374;"Pradnik Czerwony";2011-08-27
"Krakow";"paulinska";1;22;"";239000;10864;"Stare Miasto";2011-08-27
"Krakow";"lipska";1;37;"3";235000;6352;"Podgorze";2011-08-26
"Krakow";"osiedle tysiaclecia";2;29;"7";184000;6345;"Mistrzejowice";2011-08-26
"Krakow";"tysiaclecia";2;47;"4";299000;6362;"Mistrzejowice";2011-08-26
"Krakow";"radzikowskiego";2;43.69;"6";306000;7004;"Pradnik Bialy";2011-08-26
"Krakow";"nuszkiewicza";2;44.1;"4";320000;7257;"Pradnik Czerwony";2011-08-26
"Krakow";"sw";1;36.5;"3";190000;5206;"Biezanow-Prokocim";2011-08-26
"Krakow";"krzywda";1;36.5;"1";258000;7069;"Podgorze";2011-08-26
"Krakow";"marcholta";1;40.4;"4";255000;6312;"Pradnik Czerwony";2011-08-26
"Krakow";"elsnera";2;37.09;"8";246000;6633;"Pradnik Bialy";2011-08-26
"Krakow";"wezyka";2;38.18;"3";277000;7256;"Nowa Huta";2011-08-26
"Krakow";"tuchowska";3;66.94;"3";359000;5364;"Podgorze Duchackie";2011-08-26
"Krakow";"bajeczna";1;27;"3";190000;7038;"Grzegorzki";2011-08-26
"Krakow";"na stoku";2;34.2;"2";205000;5995;"inne";2011-08-26
"Krakow";"szkolne";1;29;"2";187000;6449;"Nowa Huta";2011-08-26
"Krakow";"kazimierzowskie";2;43.5;"4";220000;5058;"Bienczyce";2011-08-26
"Krakow";"aleja pokoju";1;25;"2";215000;8600;"Grzegorzki";2011-08-26
"Krakow";"spoldzielcow";2;37.1;"9";225000;6065;"Biezanow-Prokocim";2011-08-26
"Krakow";"beliny prazmowskiego";1;41.1;"2";150000;3650;"Grzegorzki";2011-08-26
"Krakow";"ugorek";3;41.8;"2";305000;7297;"Pradnik Czerwony";2011-08-26
"Krakow";"slaska";2;40.2;"1";385000;9578;"Stare Miasto";2011-08-26
"Krakow";"lasowka";4;92;"6";499000;5424;"Podgorze";2011-08-26
"Krakow";"osiedle mlodosci";3;75.5;"2";380000;5034;"Nowa Huta";2011-08-26
"Krakow";"osiedle sportowe";3;59.8;"";310000;5184;"Nowa Huta";2011-08-26
"Krakow";"stojalowskiego";3;65;"";320000;4924;"Podgorze Duchackie";2011-08-26
"Krakow";"filipowicza";2;53.19;"";346000;6505;"Podgorze Duchackie";2011-08-26
"Krakow";"szymonowica";2;53;"";365000;6887;"Debniki";2011-08-26
"Krakow";"bronowicka";3;44;"9";290000;6591;"Bronowice";2011-08-26
"Krakow";"osiedle kazimierzowskie";2;43.7;"4";240000;5492;"Nowa Huta";2011-08-26
"Krakow";"golaska";3;64;"1";399000;6235;"Podgorze Duchackie";2011-08-26
"Krakow";"armii krajowej";2;35.3;"8";285000;8074;"Bronowice";2011-08-25
"Krakow";"wybickiego";2;54.45;"3";435000;7989;"Krowodrza";2011-08-25
"Krakow";"stacyjna";2;46;"parter";210000;4566;"Biezanow-Prokocim";2011-08-25
"Krakow";"sciegiennego";3;62;"5";295000;4759;"Biezanow-Prokocim";2011-08-25
"Krakow";"plac bohaterow getta";3;56;"3";390000;6965;"Podgorze";2011-08-25
"Krakow";"pokoju";1;32;"6";240000;7500;"Grzegorzki";2011-08-25
"Krakow";"na stoku";2;40;"parter";260000;6500;"inne";2011-08-25
"Krakow";"meissnera";1;24;"8";164000;6834;"Pradnik Czerwony";2011-08-25
"Krakow";"ugorek";1;29.5;"3";235000;7967;"Pradnik Czerwony";2011-08-25
"Krakow";"bialopradnicka";1;41;"1";275000;6708;"Krowodrza";2011-08-25
"Krakow";"heleny";3;61.49;"1";330000;5367;"Podgorze";2011-08-25
"Krakow";"lazy";4;73;"parter";438000;6000;"Biezanow-Prokocim";2011-08-25
"Krakow";"francesco nullo";1;38;"2";255000;6711;"Grzegorzki";2011-08-25
"Krakow";"bobrzynskiego";3;65.88;"5";460000;6983;"Podgorze";2011-08-25
"Krakow";"spoldzielcow";2;37.1;"9";225000;6065;"Biezanow-Prokocim";2011-08-25
