-14.4944  -1.68984  -1.84669  -3.68261
-14.4901  -2.05834  -2.05834  -1.76141
-14.4858  -2.48059  -2.48059  -1.92809
-14.4814  -2.68289  -2.68289  -2.45209
-14.4771  -2.13051  -1.58667  -2.73203
-14.4728  -1.89686  -1.6926  -2.1436
-14.4685  -1.74703  -1.83135  -2.41319
-14.4641  -1.63682  -2.03387  -2.8165
-14.4598  -2.41923  -1.44593  -1.83931
-14.4555  -2.80172  -1.52127  -1.83025
-14.4512  -2.16036  -1.61148  -1.69928
-14.4469  -1.91387  -1.72419  -1.59968
-14.4425  -1.75889  -1.875  -1.91023
-14.4382  -1.6459  -2.10493  -1.75637
-14.4339  -2.61504  -2.61504  -2.58521
-14.4296  -2.53059  -2.53059  -2.10113
-14.4253  -2.08262  -2.08262  -1.80529
-14.4209  -1.86854  -1.80328  -1.68086
-14.4166  -1.72698  -1.99036  -2.04132
-14.4123  -1.62134  -2.32115  -1.84309
-14.408  -3.20539  -1.55625  -3.20539
-14.4037  -2.22428  -1.6545  -2.08039
-14.3993  -1.94858  -1.78022  -1.86718
-14.395  -1.78265  -1.95571  -1.72602
-14.3907  -1.66392  -2.25068  -2.0951
-14.3864  -1.56487  -3.67891  -1.64339
-14.382  -1.66523  -2.28886  -1.76558
-14.3777  -1.79446  -1.98127  -1.56717
-14.3734  -1.977  -1.977  -1.6681
-14.3691  -2.29329  -2.29329  -1.86179
-14.3648  -3.50865  -3.50865  -2.08295
-14.3604  -1.70327  -1.70327  -2.54821
-14.3561  -1.84596  -1.84596  -1.91519
-14.3518  -2.05717  -2.05717  -2.17478
-14.3475  -2.47752  -2.47752  -2.89584
-14.3432  -2.68777  -2.68777  -2.21255
-14.3388  -1.7736  -2.13186  -2.3251
-14.3345  -1.94593  -1.89764  -1.87535
-14.3302  -2.23179  -2.23179  -2.10551
-14.3259  -3.34038  -3.34038  -3.34038
-14.3215  -2.31004  -2.31004  -2.31004
-14.3172  -1.89111  -1.89111  -2.28677
-14.3129  -2.13236  -2.13236  -1.95171
-14.3086  -2.70989  -2.70989  -2.24291
-14.3043  -2.46616  -2.46616  -2.80846
-14.2999  -1.87243  -2.05878  -2.10362
-14.2956  -2.10061  -1.85396  -1.81696
-14.2913  -2.60135  -2.60135  -2.32483
-14.287  -2.54208  -2.54208  -1.92711
-14.2827  -2.08664  -2.08664  -1.76802
-14.2783  -2.11839  -2.11839  -2.08664
-14.274  -2.65975  -2.65975  -2.88991
-14.2697  -2.49727  -2.49727  -2.1788
-14.2654  -2.07057  -2.07057  -1.86602
-14.261  -2.18803  -1.86121  -2.27348
-14.2567  -2.96977  -1.72173  -2.96977
-14.2524  -2.36774  -2.36774  -2.36774
-14.2481  -2.01795  -2.01795  -2.72798
-14.2438  -2.33615  -2.33615  -2.02334
-14.2394  -3.10588  -3.10588  -2.61479
-14.2351  -2.21286  -2.21286  -2.5308
-14.2308  -1.94255  -1.94255  -2.5603
-14.2265  -2.68803  -2.68803  -2.00685
-14.2222  -2.47902  -1.81822  -2.54463
-14.2178  -2.06371  -2.01332  -2.39232
-14.2135  -2.37137  -2.37137  -2.5623
-14.2092  -2.94336  -2.94336  -2.24931
-14.2049  -2.18859  -2.18859  -1.96154
-14.2005  -1.92948  -1.92948  -2.22986
-14.1962  -3.34917  -3.34917  -3.34917
-14.1919  -2.30923  -2.30923  -2.19752
-14.1876  -1.99109  -2.16163  -1.93433
-14.1833  -2.8313  -2.8313  -2.36689
-14.1789  -2.41011  -2.41011  -2.60336
-14.1746  -2.03619  -2.03619  -2.10694
-14.1703  -1.83987  -1.83987  -1.83987
-14.166  -1.89027  -2.46912  -2.69294
-14.1617  -2.13091  -2.13091  -2.32938
-14.1573  -2.70448  -2.70448  -3.1653
-14.153  -1.90668  -2.46925  -2.34665
-14.1487  -2.15959  -2.05997  -2.08472
-14.1444  -2.82196  -1.85469  -2.82196
-14.14  -1.94046  -2.41367  -2.19652
-14.1357  -2.2214  -2.03768  -2.00877
-14.1314  -3.22387  -3.22387  -2.50844
-14.1271  -1.99491  -2.32256  -2.11698
-14.1228  -2.33084  -1.99737  -1.96636
-14.1184  -3.1382  -1.81501  -2.53487
-14.1141  -2.07733  -2.21683  -2.60905
-14.1098  -2.53216  -1.94465  -3.25655
-14.1055  -2.61225  -2.61225  -2.22325
-14.1012  -2.20435  -2.10972  -2.71485
-14.0968  -3.07816  -1.88472  -3.07816
-14.0925  -2.34462  -1.73849  -2.24662
-14.0882  -2.42312  -2.00757  -2.21884
-14.0839  -2.79257  -1.9261  -3.19906
-14.0795  -2.15828  -2.19463  -2.51504
-14.0752  -3.01084  -1.84841  -2.4653
-14.0709  -2.35815  -2.06111  -2.95232
-14.0666  -2.48788  -2.48788  -2.66288
-14.0623  -2.67164  -1.97128  -2.37003
-14.0579  -2.12736  -2.28163  -2.6631
-14.0536  -3.76222  -1.90699  -3.76222
-14.0493  -2.25801  -2.16014  -2.25801
-14.045  -2.82447  -2.82447  -2.44973
-14.0407  -2.41271  -2.07959  -2.54511
